date,replicate,type,CO2  flux,CH4  flux,N2O  flux
2023/3/29,1,S,81.19,20.3,NA
2023/3/29,2,S,182.68,101.49,NA
2023/3/29,3,S,60.89,18.27,NA
2023/5/1,1,S,162.39,12178.93,NA
2023/5/1,2,S,405.96,202.98,NA
2023/5/1,3,S,405.96,60.89,NA
2023/6/9,1,S,121.79,202982.18,NA
2023/6/9,2,S,16.24,-20.3,NA
2023/6/9,3,S,6.09,4059.64,NA
2023/7/28,1,S,16.24,-2029.82,NA
2023/7/28,2,S,6.09,2029.82,NA
2023/7/28,3,S,142.09,121.79,NA
2023/9/22,1,S,202.98,4059.64,NA
2023/9/22,2,S,405.96,60894.65,NA
2023/9/22,3,S,142.09,405.96,NA
2023/9/22,1,E,-42.81,216.19,-237.81
2023/9/22,4,E,-141.66,-973.97,208.32
2023/9/22,5,E,-57.07,-33547.97,-781.84
2023/10/19,1,S,182.68,608.95,NA
2023/10/19,2,S,405.96,4059.64,NA
2023/10/19,3,S,202.98,811.93,NA
2023/10/19,1,E,716.18,15525.22,60.13
2023/10/19,4,E,-1378.15,-5005.21,34.41
2023/10/19,5,E,-2243.56,-11630.27,-39.49
2023/10/19,1,S,287.27,112206.02,25.59
2023/11/24,1,S,202.98,60.89,NA
2023/11/24,2,S,20.3,405.96,NA
2023/11/24,3,S,20.3,2029.82,NA
2023/11/24,1,E,-100.83,-2254.02,-247.94
2023/11/24,4,E,-148.34,-2253.91,-371.9
2023/11/24,5,E,-118.86,-1650.86,-247.63
2023/11/24,1,S,-62.04,-120.01,-1047.33
2023/11/24,4,S,-23.99,-53.31,-533.08
2023/11/24,5,S,95.52,-95.88,-2266.14
2023/12/21,1,S,20.3,-20.3,NA
2023/12/21,2,S,81.19,2029.82,NA
2023/12/21,3,S,-4.06,-8.12,NA
2023/12/21,1,E,-13.23,-84.18,-165.36
2023/12/21,4,E,-230.9,-68.82,-151.41
2023/12/21,5,E,-53.78,-27.55,-75.75
2023/12/21,1,S,74.04,-13.53,24.8
2023/12/21,4,S,23.89,-20.03,-41.3
2023/12/21,5,S,-9.78,-5.01,-13.77
2024/1/23,1,S,12.18,405.96,NA
2024/1/23,2,S,-1.62,-6.09,NA
2024/1/23,3,S,20.3,14.21,NA
2024/2/21,1,S,-121.79,4.06,NA
2024/2/21,2,S,-18.27,0.81,NA
2024/2/21,3,S,20.3,-0.81,NA
2024/2/21,1,E,-709.82,7483.95,-262.73
2024/2/21,4,E,-651.11,44.89,-123.43
2024/2/21,5,E,-432.08,-2061.09,-305.2
2024/2/21,1,S,-15.66,-632.25,-1.93
2024/2/21,4,S,-210.71,105.2,-96.43
2024/2/21,5,S,-15.32,-163.21,-64.12
2024/3/26,1,S,81.19,202.98,NA
2024/3/26,2,S,202.98,405.96,NA
2024/3/26,3,S,40.6,81.19,NA
2024/3/26,1,E,1718.41,7474.61,274.07
2024/3/26,5,E,-250.96,-1329.81,-182.85
2024/3/26,1,S,40.99,-175.34,-12.05
2024/3/26,5,S,84.48,-88.02,0.85
2024/4/22,1,E,-206.59,-6242.38,-295.97
2024/4/22,4,E,108.22,-645.13,-29.57
2024/4/22,5,E,88.17,595.96,-32.78
2024/4/22,1,S,65.47,40910.89,-46.27
2024/4/22,4,S,259.66,953.76,-7.71
2024/4/22,5,S,242.43,-455.49,-28.91
