date,replicate,type,CO2  flux,CH4  flux,N2O  flux,W_Li,W_NA,W_NH4,W_K,W_Ca,W_Mg,W_F,W_Cl,W_NO2,W_Br,W_NO3,W_SO4,W_PO4,W_SbOC,W_pH,W_EC,W_Temp.,W_Salinity,S_soil_ratio,S_water_content,S_pH,S_EC,S_Salinity,S_TOC,S_TN,S_Temp.,S_ORP,S_SbOC,S_Li,S_NA,S_NH4,S_K,S_Ca,S_Mg,S_F,S_Cl,S_NO2,S_Br,S_NO3,S_SO4,S_PO4
2023/3/29,1,S,81,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.99,21.40,22.6,1.24,0.50,102.10,5.95,5.49,23.30,2.61,0.29,21.50,-226.00,,0.00,2.16,0.02,0.18,0.00,0.17,0.44,3.19,0.00,0.01,0.00,1.47,0.01
2023/3/29,2,S,183,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,18.74,23.0,1.02,0.56,77.70,5.70,4.10,21.80,2.80,0.28,21.50,,,0.00,2.01,0.00,0.14,0.00,0.08,0.41,2.96,0.00,0.01,0.00,0.89,0.00
2023/3/29,3,S,61,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,76.40,5.75,4.33,22.80,2.50,0.26,21.50,-281.00,,0.00,2.09,0.01,0.15,0.00,0.21,0.41,2.99,0.00,0.01,0.00,1.20,0.00
2023/5/1,1,S,162,12179,NA,0.23 ,254.85 ,0.01 ,185.65 ,224.38 ,655.53 ,0.85 ,496.19 ,0.00 ,1.13 ,0.03 ,54.81 ,0.00 ,1.72 ,6.13 ,28.30 ,27.6,1.64 ,0.77,31.20,6.27,1.51,7.50,,,27.60,-218.00,0.21,0.00,1.89,0.03,0.14,0.09,0.18,0.00,2.99,0.00,0.01,0.01,0.80,0.00
2023/5/1,2,S,406,203,NA,0.17 ,241.33 ,0.01 ,179.71 ,213.67 ,619.85 ,0.04 ,450.98 ,0.00 ,1.04 ,0.02 ,49.66 ,0.00 ,1.84 ,6.32 ,27.20 ,29.0,1.61 ,0.73,36.90,6.48,1.44,8.50,,,,,0.19,0.00,2.02,0.03,0.13,0.08,0.19,0.00,3.22,0.00,0.01,0.01,0.84,0.00
2023/5/1,3,S,406,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.70,43.90,6.78,0.88,4.60,,,29.00,-103.00,0.16,0.00,1.43,0.01,0.10,0.05,0.09,0.00,2.13,0.00,0.01,0.02,0.33,0.00
2023/6/9,1,S,122,202982,NA,0.04,339.60,20.40,56.54,0.08,44.22,0.14,701.32,0.68,1.97,3.36,100.88,0.07,5.01,7.09,0.79,25.70,0.05,0.69,46.50,5.81,0.08,0.00,,,,-231.00,4.24,0.00,1.54,0.00,0.15,0.12,0.16,0.00,2.35,0.00,0.01,0.00,0.25,0.01
2023/6/9,2,S,16,-20,NA,0.04,239.26,15.04,42.27,0.00,41.05,0.11,485.37,0.62,1.35,3.53,82.20,0.00,4.58,7.32,0.75,28.10,0.04,0.67,52.40,5.45,0.07,0.00,,,,,2.94,0.00,1.22,0.00,0.13,0.10,0.11,0.00,1.94,0.00,0.01,0.00,0.53,0.00
2023/6/9,3,S,6,4060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63,65.40,5.22,0.04,0.00,,,,-116.00,4.17,0.00,1.32,0.00,0.14,0.11,0.14,0.00,2.22,0.00,0.01,0.00,0.32,0.00
2023/7/28,1,S,16,-2030,NA,0.08 ,1094.58 ,0.12 ,46.01 ,135.08 ,153.98 ,0.37 ,1920.54 ,0.96 ,5.17 ,0.87 ,426.26 ,0.00 ,0.64 ,7.38 ,6.70 ,24.9,0.36 ,0.68,46.30,3.81,3.70,19.50,3.43,0.23,,460.00,0.43,0.00,1.66,0.02,0.09,0.44,0.47,0.01,2.36,0.00,0.01,0.00,5.53,0.00
