date,replication,day,dm,TC,TN,C.content,N.content,site
2023/9/8,1,0,3,36.66,1.03,1.0998,0.0309,E
2023/9/8,2,0,3,41.4,1.05,1.242,0.0315,E
2023/9/8,3,0,3,41.24,0.98,1.2372,0.0294,E
2023/10/22,1,44,2.37,42.01,0.8157,0.995637,0.01933209,E
2023/10/22,2,44,2.33,43.02,0.7154,1.002366,0.01666882,E
2023/10/22,3,44,2.238,41.28,1.028,0.9238464,0.02300664,E
2023/10/22,4,44,2.191,42.37,1.2191,0.9283267,0.026710481,C
2023/10/22,5,44,2.326,41.97,1.198,0.9762222,0.02786548,C
2023/10/22,6,44,2.199,31.46,0.6909,0.6918054,0.015192891,C
2023/10/22,7,44,2.233,40.95,0.8583,0.9144135,0.019165839,W
2023/10/22,8,44,2.239,44.28,0.7382,0.9914292,0.016528298,W
2023/10/22,9,44,2.314,40.47,0.6132,0.9364758,0.014189448,W
2023/10/22,10,44,2.3,41.71,0.8373,0.95933,0.0192579,W
2023/10/22,11,44,2.444,39.71,1.1807,0.9705124,0.028856308,E
2023/11/24,1,77,2.364,39.81,0.9012,0.9411084,0.021304368,E
2023/11/24,2,77,2.225,38.32,0.9691,0.85262,0.021562475,E
2023/11/24,3,77,2.319,37.25,1.3008,0.8638275,0.030165552,E
2023/11/24,4,77,2.109,41.94,1.0725,0.8845146,0.022619025,C
2023/11/24,6,77,2.065,40.84,0.7027,0.843346,0.014510755,C
2023/11/24,7,77,2.011,39.66,1.4326,0.7975626,0.028809586,W
2023/11/24,8,77,2.277,33.03,1.0986,0.7520931,0.025015122,W
2023/11/24,9,77,2.463,40.3,0.7124,0.992589,0.017546412,W
2023/11/24,10,77,2.638,36.15,0.74,0.953637,0.0195212,W
2023/11/24,11,77,2.639,35.78,1.2033,0.9442342,0.031755087,E
2023/12/21,2,104,2.188,40.19,1.1151,0.8793572,0.024398388,E
2023/12/21,3,104,1.955,36.66,0.9631,0.716703,0.018828605,E
2023/12/21,4,104,2.383,29.55,1.391,0.7041765,0.03314753,C
2023/12/21,5,104,2.52,36.26,0.8757,0.913752,0.02206764,C
2023/12/21,6,104,2.224,34.15,1.3278,0.759496,0.029530272,C
2023/12/21,7,104,1.883,37.35,1.6355,0.7033005,0.030796465,W
2023/12/21,8,104,2.158,40.22,1.167,0.8679476,0.02518386,W
2023/12/21,10,104,2.431,42.08,0.801,1.0229648,0.01947231,W
2023/12/21,11,104,2.002,36.93,1.0759,0.7393386,0.021539518,E
2024/1/23,1,137,2.42,34.8,1.0311,0.84216,0.02495262,E
2024/1/23,2,137,2.192,43.22,0.8726,0.9473824,0.019127392,E
2024/1/23,3,137,2.039,43.24,0.9133,0.8816636,0.018622187,E
2024/1/23,4,137,1.757,37.34,1.5758,0.6560638,0.027686806,C
2024/1/23,6,137,1.713,43.56,1.7787,0.7461828,0.030469131,C
2024/1/23,7,137,1.476,39.33,1.9141,0.5805108,0.028252116,W
2024/1/23,8,137,2.149,48.71,0.868,1.0467779,0.01865332,W
2024/1/23,9,137,1.838,40.62,0.7739,0.7465956,0.014224282,W
2024/1/23,10,137,2.195,34.29,1.317,0.7526655,0.02890815,W
2024/1/23,11,137,3.208,27.31,0.7763,0.8761048,0.024903704,E
2024/2/21,1,166,2.316,56.07,2.6364,1.2985812,0.061059024,E
2024/2/21,2,166,2.028,33.91,0.7575,0.6876948,0.0153621,E
2024/2/21,3,166,2.497,29.76,1.0996,0.7431072,0.027457012,E
2024/2/21,4,166,2.593,25.09,1.2468,0.6505837,0.032329524,C
2024/2/21,6,166,1.525,39.74,1.9708,0.606035,0.0300547,C
2024/2/21,8,166,1.978,31.11,0.8236,0.6153558,0.016290808,W
2024/2/21,9,166,2.338,38.17,0.8532,0.8924146,0.019947816,W
2024/2/21,10,166,1.9,40.82,0.9776,0.77558,0.0185744,W
2024/2/21,11,166,2.224,42.11,0.8374,0.9365264,0.018623776,W
2024/4/22,1,227,2.486,40.51,0.7496,1.0070786,0.018635056,E
2024/4/22,3,227,2.024,43.86,0.6885,0.8877264,0.01393524,E
2024/4/22,4,227,1.388,39.02,1.5995,0.5415976,0.02220106,C
2024/4/22,5,227,2.32,34.53,1.2759,0.801096,0.02960088,C
2024/4/22,6,227,2.045,38.44,1.0743,0.786098,0.021969435,C
2024/4/22,8,227,1.305,39.39,2.2305,0.5140395,0.029108025,W
2024/4/22,9,227,1.699,35.19,1.337,0.5978781,0.02271563,W
2024/4/22,10,227,2.774,31.59,0.9719,0.8763066,0.026960506,W
2024/2/21,6,166,1.53,39.74,1.97,0.606035,0.0300547,
2024/2/21,7,166,N.A.,na,na,#VALUE!,#VALUE!,
2024/2/21,8,166,1.98,31.11,0.82,0.6153558,0.016290808,
2024/2/21,9,166,2.34,38.17,0.85,0.8924146,0.019947816,
2024/2/21,10,166,1.9,40.82,0.98,0.77558,0.0185744,
2024/2/21,11,166,2.22,42.11,0.84,0.9365264,0.018623776,
2024/4/22,1,227,2.49,40.51,0.75,1.0070786,0.018635056,
2024/4/22,2,227,0.29,34.74,1.24,0.1003986,0.003591692,
2024/4/22,3,227,2.02,43.86,0.69,0.8877264,0.01393524,
2024/4/22,4,227,1.39,39.02,1.6,0.5415976,0.02220106,
2024/4/22,5,227,2.32,34.53,1.28,0.801096,0.02960088,
2024/4/22,6,227,2.05,38.44,1.07,0.786098,0.021969435,
2024/4/22,7,227,N.A.,na,na,#VALUE!,#VALUE!,
2024/4/22,8,227,1.31,39.39,2.23,0.5140395,0.029108025,
2024/4/22,9,227,1.7,35.19,1.34,0.5978781,0.02271563,
2024/4/22,10,227,2.77,31.59,0.97,0.8763066,0.026960506,
2024/4/22,11,227,0,na,na,#VALUE!,#VALUE!,
