date,replicate,NPP,Sediment,Soil,,,,2023/7/28,2024/4/29,Jul-23,Apr-24,,per year,,,,,,,,2023/7/28,2024/4/29,Jul-23,Apr-24
2023/7/28,1 ,630.98 ,0.00 ,2768.89 ,,,NPP,1001.59,1526.24,330.0645715,816.2035526,,648.1853081,3.797976454,,0.585939917,,,,NPP,1001.59,1526.24,330.0645715,816.2035526
2023/7/28,2 ,1263.90 ,0.00 ,1606.95 ,,,Sediment,0,601.45,0,326.4224225,,435.2298966,,,,,,,Sediment,0,601.45,0,326.4224225
2023/7/28,3 ,1109.88 ,0.00 ,1581.17 ,,,Soil,1985.67,1508.59,678.4136813,194.9223485,,259.8964646,,,,,,,Soil,1985.67,2123.51,678.4136813,586.2164888
2023/7/28,4 ,-,0.00 ,-,,,,mean,,sd,,,,,,,,,,,mean,,sd,
2023/7/28,5 ,-,0.00 ,-,,,,,,,,,,,,,,,,,,,,
2023/7/28,6 ,-,0.00 ,-,Sediment height,soil height,,,,,,,,,,,,,,,,,,
2024/4/29,1,1659.42 ,422.37 ,1295.21 ,2,8,1513.425627,,,,,,,,,,,,,,,,,
2024/4/29,2,2267.66 ,411.20 ,1714.26 ,1.5,8.5,1944.205732,,,,,,,,,,,,,,,,,
2024/4/29,3,651.64 ,1034.88 ,1639.09 ,6.5,3.5,2761.202192,,,,,,,,,,,,,,,,,
,4,-,386.75 ,1237.62 ,2.5,7.5,1521.242022,,,,,,,,,,,,,,,,,
,5,-,1007.82 ,1563.85 ,7,3,2861.246201,,,,,,,,,,,,,,,,,
,6,-,345.71 ,1601.53 ,3,7,2139.731727,,,,,,,,,,,,,,,,,
,,NPP,Sediment,Soil,,,,,,,,,,,,,,,,,,,,
,mean,1001.59,0,1985.67,,,,,,,,,,,,,,,,,,,,
,,1526.24,601.45,1508.59,,,1522,,,,,,,,,,,,,,,,,
,sd,330.0645715,0,678.4136813,,,,,,,,,,,,,,,,,,,,
,,816.2035526,326.4224225,194.9223485,,,586.2164888,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,soil ratio,toc(%),bulk density (g cm-3),,,C content (g m-2),,,,,,,,,,,,,,,,
,7る28ら,0-2,0.65,5.45,1.18,0.684515864,3.428,2768.89405,,,,,,,,,,,,,,,,
,,2-5,0.67,3.01,1.18,,,,,,,,,,,,,,,,,,,
,,5-10,0.70,2.87,1.18,,,,,,,,,,,,,,,,,,,
,,0-2,0.62,2.65,1.18,0.608770369,2.237,1606.946792,,,,,,,,,,,,,,,,
,,2-5,0.62,1.94,1.18,,,,,,,,,,,,,,,,,,,
,,5-10,0.60,2.25,1.18,,,,,,,,,,,,,,,,,,,
,,0-2,0.63,2.19,1.18,0.634157982,2.113,1581.171464,,,,,,,,,,,,,,,,
,,2-5,0.65,2.10,1.18,,,,,,,,,,,,,,,,,,,
,,5-10,0.63,2.09,1.18,,,,,,,,,,,,,,,,,,,
,4る22ら,1,0.71,1.55,1.18,,,1295.214592,,,,,,,,,,,,,,,,
,,2,0.67,2.16,1.18,,,1714.255065,,,,,,,,,,,,,,,,
,,3,0.71,1.97,1.18,,,1639.091928,,,,,,,,,,,,,,,,
,,4,0.71,1.47,1.18,,,1237.618729,,,,,,,,,,,,,,,,
,,5,0.72,1.83,1.18,,,1563.846062,,,,,,,,,,,,,,,,
,,6,0.73,1.86,1.18,,,1601.525521,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
