day,date,site,RP-N,RP-C,AHPII-N,AHPII-C,AHPI-N,AHPI-C,total-N,total-C,d.m.,RP-N_w,RP-C_w,AHPII-N_w,AHPII-C_w,AHPI-N_w,AHPI-C_w,total-N_w,total-C_w
0,2023/9/8,E,0.057505,9.635694444,0.989130952,1.706380952,1.605833333,13.11866667,2.652469286,24.46074206,3,0.00172515,0.289070833,0.029673929,0.051191429,0.048175,0.39356,0.079574079,0.733822262
0,2023/9/8,W,0.211679636,14.72132711,1.158293542,2.582438356,1.834684932,13.01473973,3.204658109,30.31850519,3,0.006350389,0.441639813,0.034748806,0.077473151,0.055040548,0.390442192,0.096139743,0.909555156
0,2023/9/8,C,0.201039984,16.17233489,1.20398419,3.231727273,2.119090909,11.85130435,3.524115083,31.25536651,3,0.0060312,0.485170047,0.036119526,0.096951818,0.063572727,0.35553913,0.105723452,0.937660995
44,2023/10/22,E,0.13324498,17.63347178,1.199177866,1.685217391,2.26086166,12.31977866,3.593284506,31.63846783,2.289454545,0.003050583,0.403710321,0.027454632,0.038582286,0.0517614,0.282055732,0.082266615,0.72434834
44,2023/10/22,W,0.127737027,16.92757733,1.372996016,2.809956175,2.325227092,11.40341833,3.825960134,31.14095184,2.289454545,0.002924481,0.387549189,0.03143412,0.064332669,0.053235017,0.261076079,0.087593618,0.712957937
44,2023/10/22,C,0.113293587,15.93751022,1.399179487,2.309755424,2.268828402,11.6488284,3.781301476,29.89609405,2.289454545,0.002593805,0.364882052,0.032033578,0.052880801,0.051943795,0.266694631,0.086571179,0.684457484
104,2023/12/21,E,0.125027493,14.06633333,1.342616302,1.761673956,2.201367793,11.35586481,3.669011589,27.1838721,2.193777778,0.002742825,0.308584095,0.029454018,0.038647212,0.048293117,0.249122439,0.080489961,0.596353745
104,2023/12/21,W,0.206979413,14.94382933,1.447944112,1.957872255,2.302371257,9.795640719,3.957294783,26.69734231,2.193777778,0.004540668,0.327834407,0.031764676,0.042951366,0.050508909,0.214894589,0.086814254,0.585680363
104,2023/12/21,C,0.131529173,13.21048533,1.410497041,3.194698225,2.09652071,11.27306509,3.638546925,27.67824865,2.193777778,0.002885458,0.289808692,0.030943171,0.07008458,0.045993005,0.247305997,0.079821634,0.607199268
227,2024/4/22,E,0.15094782,18.157656,1.42890411,2.8861409,2.004493151,10.356,3.58434508,31.3997969,2.005125,0.003026692,0.3640837,0.028651314,0.057870733,0.040192593,0.207650745,0.071870599,0.629605178
227,2024/4/22,W,0.13204128,10.2656,1.401458167,2.767414343,2.31485259,10.99061355,3.848352037,24.02362789,2.005125,0.002647593,0.205838112,0.028100988,0.055490117,0.046415688,0.22037554,0.077164269,0.481703769
227,2024/4/22,C,0.175695,10.93902333,1.550369781,3.313630219,2.246290258,9.904318091,3.97235504,24.15697164,2.005125,0.003522904,0.219341092,0.031086852,0.066442428,0.045040928,0.198593958,0.079650684,0.484377478
