day,date,type,replicate,dry weight,TC,TN,C content,N content,C/N,,,,,,,,,,,,,,,,,,,,,,
0,2023/7/28,AGB,1,1.26,38.86,0.96,488.60,12.07,40.48,,,,,,,,,,,,,,,,,,,,,,
0,2023/7/28,AGB,2,0.88,47.10,2.12,415.48,18.70,22.22,,,,,,,,,,,,,,,,,,,,,,
0,2023/7/28,AGB,3,1.49,42.61,2.18,634.85,32.48,19.55,,,,,,,,,,,,,,,,,,,,,,
0,2023/7/28,BGB,1,0.46,30.87,0.84,142.38,3.87,36.75,,,,,,,,,,,,,,,,,,,,,,
0,2023/7/28,BGB,2,2.33,36.49,1.04,848.42,24.18,35.09,,,,,,,,,,,,,,,,,,,,,,
0,2023/7/28,BGB,3,1.40,33.81,1.12,475.02,15.74,30.19,,,,,,,,,,,,,,,,,,,,,,
70,2023/10/6,AGB,1,0.33,41.32,1.53,135.50,5.01,27.05,,,,,,,,,,,,,,,,,,,,,,
70,2023/10/6,AGB,2,0.46,40.94,1.56,188.64,7.20,26.19,,,,,,,,,,,,,,,,,,,,,,
70,2023/10/6,AGB,3,0.60,40.55,1.58,243.84,9.48,25.71,,,,,,,,,,,,,,,,,,,,,,
70,2023/10/6,BGB,1,1.25,23.66,0.51,296.93,6.42,46.24,,,,,,,,,,,,,,,,,,,,,,
70,2023/10/6,BGB,2,1.81,31.82,0.65,574.66,11.65,49.31,,,,,,,,,,,,,,,,,,,,,,
70,2023/10/6,BGB,3,1.42,29.03,0.64,413.17,9.09,45.44,,,,,,,,,,,,,,,,,,,,,,
146,2023/12/21,AGB,1,1.24,40.28,2.04,498.61,25.22,19.77,,,,,,,,,,,,,,,,,,,,,,
146,2023/12/21,AGB,2,0.89,39.67,1.50,352.12,13.29,26.50,,,,,,,,,,,,,,,,,,,,,,
146,2023/12/21,AGB,3,0.74,40.78,1.25,301.02,9.21,32.68,,,,,,,,,,,,,,,,,,,,,,
146,2023/12/21,BGB,1,0.94,30.55,0.80,287.87,7.55,38.11,,,,,,,,,,,,,,,,,,,,,,
146,2023/12/21,BGB,2,0.56,26.33,0.45,146.35,2.53,57.92,,,,,,,,,,,,,,,,,,,,,,
146,2023/12/21,BGB,3,2.58,30.19,0.58,778.05,14.84,52.42,,,,,,,,,,,,,,,,,,,,,,
208,2024/2/21,AGB,1,2.18,36.00,1.09,783.61,23.73,33.03,,,,,,,,,,,,,,,,,,,,,,
208,2024/2/21,AGB,2,1.29,16.96,0.42,219.09,5.39,40.66,,,,,,,,,,,,,,,,,,,,,,
208,2024/2/21,AGB,3,1.88,47.80,2.14,899.18,40.22,22.36,,,,,,,,,,,,,,,,,,,,,,
208,2024/2/21,BGB,1,3.95,38.58,1.07,1524.63,42.10,36.21,,,,,,,,,,,,,,,,,,,,,,
208,2024/2/21,BGB,2,1.49,32.91,0.78,489.91,11.67,41.98,,,,,,,,,,,,,,,,,,,,,,
208,2024/2/21,BGB,3,0.97,77.25,3.04,748.12,29.42,25.43,,,,,,,,,,,,,,,,,,,,,,
277,2024/4/29,AGB,1,1.14,39.51,1.35,449.82,15.35,29.29,,,,,,,,,,,,,,,,,,,,,,
277,2024/4/29,AGB,2,2.60,42.86,1.36,1116.12,35.32,31.60,,,,,,,,,,,,,,,,,,,,,,
277,2024/4/29,AGB,3,0.77,44.50,1.26,343.16,9.68,35.43,,,,,,,,,,,,,,,,,,,,,,
277,2024/4/29,BGB,1,3.13,38.63,0.58,1209.60,18.06,66.96,,,,,,,,,,,,,,,,,,,,,,
277,2024/4/29,BGB,2,3.02,38.17,0.46,1151.55,13.91,82.78,,,,,,,,,,,,,,,,,,,,,,
277,2024/4/29,BGB,3,0.77,39.90,0.61,308.48,4.68,65.87,,,,,,,,,,,,,,,,,,,,,,
0,2023/7/28,sum,1,1.72 ,,,631 ,16 ,,,,,,,,,,,,,,,,,,,,,,,
0,2023/7/28,sum,2,3.21 ,,,1264 ,43 ,,,,,,,,,,,,,,,,,,,,,,,
0,2023/7/28,sum,3,2.89 ,,,1110 ,48 ,,,,,,,,,,,,,,,,,,,,,,,
70,2023/10/6,sum,1,1.58 ,,,432 ,11 ,,,,,,,,,,,,,,,,,,,,,,,
70,2023/10/6,sum,2,2.27 ,,,763 ,19 ,,,,,,,,,,,,,,,,,,,,,,,
70,2023/10/6,sum,3,2.02 ,,,657 ,19 ,,,,,,,,,,,,,,,,,,,,,,,
146,2023/12/21,sum,1,2.18 ,,,786 ,33 ,,,,,,,,,,,,,,,,,,,,,,,
146,2023/12/21,sum,2,1.44 ,,,498 ,16 ,,,,,,,,,,,,,,,,,,,,,,,
146,2023/12/21,sum,3,3.32 ,,,1079 ,24 ,,,,,,,,,,,,,,,,,,,,,,,
208,2024/2/21,sum,1,6.13 ,,,2308 ,66 ,,,,,,,,,,,,,,,,,,,,,,,
208,2024/2/21,sum,2,2.78 ,,,709 ,17 ,,,,,,,,,,,,,,,,,,,,,,,
208,2024/2/21,sum,3,2.85 ,,,1647 ,70 ,,,,,,,,,,,,,,,,,,,,,,,
277,2024/4/29,sum,1,4.27 ,,,1659 ,33 ,,,,,,,,,,,,,,,,,,,,,,,
277,2024/4/29,sum,2,5.62 ,,,2268 ,49 ,,,,,,,,,,,,,,,,,,,,,,,
277,2024/4/29,sum,3,1.54 ,,,652 ,14 ,,,,,,,,,,,,,,,,,,,,,,,
