date,replication,depth,bulk_density,soil_ratio,water_content,pH,EC,Salinity,TOC,TN,Temp.,ORP,SbOC,Li,NA,NH4,K,Ca,Mg,F,Cl,NO2,Br,NO3,SO4,PO4,,
2023/3/29 ,1,0 - 2,NA,0.47,1.15,6.09,5.61,0.03,2.99,0.33,21.5,-226,NA,0.00,2.15,0.02,0.18,0.00,0.36,0.01,3.17,0.00,0.01,0.00,2.16,0.00,,
2023/3/29,1,2 - 5,NA,0.47,1.12,6.08,5.53,0.29,2.86,0.32,21.5,-226,NA,0.00,2.16,0.01,0.18,0.00,0.33,0.53,3.13,0.00,0.01,0.00,1.70,0.00,,
2023/3/29,1,5 - 10,NA,0.52,0.91,5.82,5.42,0.28,2.31,0.25,21.5,-226,NA,0.00,2.17,0.02,0.18,0.00,0.00,0.56,3.24,0.00,0.01,0.00,1.06,0.01,,
2023/3/29,2,0 - 2,NA,0.56,0.79,5.81,3.36,0.18,2.81,0.31,21.5,NA,NA,0.00,2.11,0.01,0.17,0.00,0.00,0.40,2.99,0.00,0.01,0.00,1.14,0.00,,
2023/3/29 ,2,2 - 5,NA,0.53,0.88,5.53,4.63,0.24,3.26,0.32,21.5,NA,NA,0.00,2.27,0.00,0.15,0.00,0.00,0.15,3.42,0.00,0.01,0.00,1.04,0.00,,
2023/3/29,2,5 - 10,NA,0.58,0.71,5.76,4.07,0.22,2.51,0.25,21.5,NA,NA,0.00,1.81,0.00,0.12,0.00,0.15,0.56,2.67,0.00,0.01,0.00,0.69,0.00,,
2023/3/29,3,0 - 2,NA,0.56,0.79,6.31,4.09,0.21,2.62,0.27,21.5,-281,NA,0.00,1.84,0.04,0.16,0.00,0.00,0.67,2.62,0.00,0.01,0.00,1.14,0.00,,
2023/3/29,3,2 - 5,NA,0.58,0.72,6.16,4.05,0.22,2.36,0.25,21.5,-281,NA,0.00,2.05,0.01,0.15,0.00,0.22,0.44,3.05,0.00,0.01,0.00,0.92,0.00,,
2023/3/29,3,5 - 10,NA,0.56,0.78,5.27,4.60,0.24,2.53,0.27,21.5,-281,NA,0.00,2.21,0.00,0.15,0.00,0.29,0.28,3.11,0.00,0.01,0.00,1.39,0.00,,
2023/5/1 ,1,0 - 2,NA,0.70,0.43,6.04,2.07,0.07,NA,NA,27.6,-218,0.21,0.00,2.02,0.03,0.15,0.08,0.19,0.00,3.22,0.00,0.01,0.00,0.91,0.00,,
2023/5/1 ,1,2 - 5,NA,0.76,0.32,6.56,1.38,0.07,NA,NA,27.6,-218,0.21,0.00,1.85,0.03,0.13,0.07,0.15,0.00,2.99,0.00,0.01,0.02,0.52,0.01,,
2023/5/1 ,1,5 - 10,NA,0.80,0.26,6.19,1.37,0.08,NA,NA,27.6,-218,0.21,0.00,1.86,0.03,0.15,0.10,0.19,0.00,2.89,0.00,0.01,0.01,0.93,0.00,,
2023/5/1 ,2,0 - 2,NA,0.66,0.51,6.48,1.67,0.10,NA,NA,NA,NA,0.27,0.00,2.13,0.04,0.14,0.08,0.18,0.00,3.41,0.00,0.01,0.01,0.63,0.00,,
2023/5/1,2,2 - 5,NA,0.72,0.39,6.56,1.76,0.10,NA,NA,NA,NA,0.17,0.00,1.92,0.02,0.13,0.09,0.17,0.00,3.12,0.00,0.01,0.01,0.71,0.00,,
