date,replication,Li,NA,NH4,K,Ca,Mg,F,Cl,NO2,Br,NO3,SO4,PO4,SbOC,pH,EC,Temp.,Salinity,,,,
2023/3/29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.99,21.40,22.6,1.24,,,,
2023/3/29,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,18.74,23.0,1.02,,,,
2023/5/1,1,0.23 ,254.85 ,0.01 ,185.65 ,224.38 ,655.53 ,0.85 ,496.19 ,0.00 ,1.13 ,0.03 ,54.81 ,0.00 ,1.72 ,6.13 ,28.30 ,27.6,1.64 ,,,,
2023/5/1,2,0.17 ,241.33 ,0.01 ,179.71 ,213.67 ,619.85 ,0.04 ,450.98 ,0.00 ,1.04 ,0.02 ,49.66 ,0.00 ,1.84 ,6.32 ,27.20 ,29.0,1.61 ,,,,
2023/6/9,1,0.04 ,339.60 ,20.40 ,56.54 ,0.08 ,44.22 ,0.14 ,701.32 ,0.68 ,1.97 ,3.36 ,100.88 ,0.07 ,5.01 ,7.09 ,0.79 ,25.7,0.05 ,,,,
2023/6/9,2,0.04 ,239.26 ,15.04 ,42.27 ,0.00 ,41.05 ,0.11 ,485.37 ,0.62 ,1.35 ,3.53 ,82.20 ,0.00 ,4.58 ,7.32 ,0.75 ,28.1,0.04 ,,,,
2023/7/28,1,0.08 ,1094.58 ,0.12 ,46.01 ,135.08 ,153.98 ,0.37 ,1920.54 ,0.96 ,5.17 ,0.87 ,426.26 ,0.00 ,0.64 ,7.38 ,6.70 ,24.9,0.36 ,,,,
2023/7/28,2,0.05 ,1051.13 ,0.06 ,43.80 ,128.46 ,146.12 ,0.35 ,1943.10 ,1.23 ,5.27 ,0.73 ,439.32 ,0.00 ,2.79 ,7.80 ,6.66 ,24.8,0.35 ,,,,
2023/9/22,1,0.02 ,97.40 ,0.79 ,6.55 ,13.19 ,12.21 ,4.72 ,80.93 ,0.45 ,1.09 ,0.16 ,65.34 ,0.00 ,2.87 ,7.74 ,0.69 ,27.7,0.04 ,,,,
2023/9/22,2,0.00 ,55.66 ,1.31 ,4.63 ,15.93 ,10.12 ,0.00 ,77.71 ,0.12 ,1.16 ,1.27 ,21.05 ,0.00 ,2.96 ,8.01 ,0.46 ,27.1,0.02 ,,,,
